FILE	 PrDir	 PrSpd	 PrHDsp	 RFX	 RFY	 RFDiam	 Nthr	 NSlp	 Mthr	 MSlp	 NthrSim	 NslpSim	 DspLo	 DspHi	 Ntrials	
m2c115r7.htb	  260.0	   3.00	 -0.100	  -5.40	   5.90	   5.00	 64.43493	 3.14300	 42.76448	 2.03934	 58.87445	 2.77840	 -0.100	  0.600	  560	
m2c117r6.htb	  225.0	  20.00	 -1.200	 -11.10	   3.90	  20.00	 19.17083	 1.32084	 33.50207	 2.67861	 16.45620	 1.27152	 -1.200	  1.300	  560	
m2c118r7.htb	  140.0	   4.50	 -0.150	  -7.70	   4.00	  10.00	 13.06539	 1.47147	 29.30774	 1.52082	 10.48148	 1.53709	 -0.150	  0.600	  465	
m2c120r7.htb	   55.0	   6.00	  0.200	  -4.60	  15.00	   8.00	 77.02393	 81.70232	 54.56762	 2.13267	 77.02393	 81.70232	 -0.400	  0.200	  560	
m2c121r6.htb	   20.0	  18.00	 -1.700	  -4.20	   2.70	   6.00	 57.37539	 1.88335	 59.47791	 1.23717	 49.34047	 1.64376	 -1.700	  1.000	  560	
m2c123r6.htb	   55.0	  15.00	  0.500	  -3.20	   5.30	  10.00	 73.94867	 5.36239	 38.13902	 0.74367	 52.04715	 25.56269	 -0.600	  0.500	  434	
m2c125r6.htb	  220.0	   6.50	  1.000	  -4.30	   1.30	   5.00	 58.95522	 4.81776	 28.18112	 0.98367	 57.25240	 4.33208	 -0.300	  1.000	  560	
m2c126r6.htb	   75.0	   6.00	  0.600	  -4.70	   2.50	   4.50	 31.53326	 1.85358	 38.31089	 4.53437	 27.14705	 2.08235	 -0.200	  0.600	  226	
m2c129r7.htb	  155.0	   2.00	  0.100	  -5.50	   1.40	  10.00	 24.73592	 2.05812	 29.45174	 1.09154	 21.50264	 2.12068	 -0.400	  0.100	  560	
m2c131r7.htb	  250.0	  15.00	 -0.150	  -2.70	  11.80	  12.00	 15.53807	 2.06636	 35.05195	 1.78213	 13.27342	 1.99660	 -0.150	  0.800	  560	
m2c132r7.htb	  340.0	   1.00	 -0.100	  -4.40	  -0.10	   4.00	 20.54416	 1.02429	 35.53322	 1.53409	 15.26119	 0.86477	 -0.100	  0.800	  560	
m2c133r5.htb	  115.0	  15.00	  0.500	  -1.10	   9.80	  15.00	 52.16004	 2.51149	 50.82321	 0.87010	 46.85820	 2.66035	 -0.500	  0.500	  182	
m2c134r7.htb	   65.0	   3.00	 -0.050	  -4.30	   0.50	   5.00	 23.32530	 1.39252	 30.12177	 2.14535	 19.35342	 1.33202	 -0.050	  0.400	  431	
m2c135r5.htb	  130.0	   5.00	 -0.700	  -4.90	   2.00	   5.00	 91.28356	 28.48519	 46.58906	 15.95030	 91.09589	 29.12434	 -0.700	  0.300	  280	
m2c137r5.htb	  240.0	   4.00	  1.000	  -5.10	   1.90	   8.00	 71.00175	 8.44197	 29.06628	 1.41392	 69.10019	 7.28970	 -0.400	  1.000	  280	
m2c138r7.htb	  300.0	  15.00	  0.350	  -4.40	  -0.20	   8.30	 17.60651	 1.27239	 24.27885	 1.11504	 13.62440	 1.15192	 -0.500	  0.350	  840	
m2c140r7.htb	   90.0	   1.00	  0.200	  -2.90	   5.80	   7.00	 39.55325	 1.74811	 30.05368	 1.53743	 32.89666	 1.90574	 -0.200	  0.200	  515	
m2c142r7.htb	  275.0	   4.00	  0.080	  -2.20	  -0.40	   4.00	 18.27731	 2.38578	 49.19141	 1.63420	 15.97652	 2.86517	 -0.300	  0.080	  560	
m2c144r6.htb	  330.0	   7.00	  0.200	  -2.30	  -2.30	   5.00	 27.95848	 3.30488	 30.77566	 1.48640	 25.66791	 2.82675	 -0.200	  0.200	  240	
m2c145r8.htb	  270.0	   2.00	  0.050	  -3.30	  -1.70	   5.50	 24.18778	 1.27488	 50.67721	 1.56430	 17.65239	 1.07010	 -0.100	  0.050	  560	
m2c147r7.htb	   65.0	   6.00	 -0.100	  -5.10	  -1.80	  10.00	 22.46125	 1.48103	 18.85315	 1.49062	 18.46359	 1.40472	 -0.100	  0.700	  560	
m2c148r6.htb	  260.0	  10.00	  0.200	  -6.00	  -0.30	   8.00	 17.58207	 2.06120	 19.46845	 2.17825	 15.43220	 2.21112	 -0.400	  0.200	  499	
m2c149r7.htb	   30.0	   7.00	 -0.200	  -5.80	  -2.50	  11.00	 15.07662	 1.12797	 18.84345	 1.19827	 11.99530	 1.17125	 -0.200	  0.800	  560	
m2c151r7.htb	  245.0	  20.00	  0.200	  -1.30	   8.90	  14.00	 51.17752	 1.80992	 32.25894	 1.37047	 41.00785	 1.86476	 -0.200	  0.200	  560	
m2c152r7.htb	  150.0	   0.00	  0.250	  -4.90	   0.20	   9.00	 50.96488	 2.60001	 16.59775	 1.41398	 44.81302	 2.69464	 -0.300	  0.250	  560	
m2c153r7.htb	  315.0	   6.00	 -0.050	  -5.50	   0.30	   9.50	 30.02681	 2.07931	 27.17415	 1.44891	 25.87678	 1.77149	 -0.050	  0.700	  489	
