FILE		 lo_corr	 CPnovar	 CPvar	 CPzero	 Pzero	 CPgrnd	 Pgrnd	
m2c111r7.htb   0.00 0.4242 0.4875 0.4875 0.88000 0.5416 0.16700
m2c112r7.htb   0.00 0.7165 0.7108 0.7108 0.03000 0.5247 0.44600
m2c114r7.htb   0.00     --     -- 0.5050 0.95000 0.5852 0.00450
m2c115r7.htb   0.00 0.5547 0.3363 0.4455 0.42400 0.5455 0.12200
m2c117r6.htb   0.00 0.3389 0.4035 0.3778 0.05600 0.5095 0.74400
m2c118r7.htb   0.00 0.9113 0.4296 0.4296 0.49400 0.5340 0.31000
m2c120r7.htb   0.00     --     -- 0.5243 0.74200 0.5449 0.13200
m2c121r6.htb   0.00 0.6621 0.5320 0.5830 0.21000 0.6086 0.00050
m2c123r6.htb   0.00 0.3483 0.3929 0.3434 0.03650 0.3264 0.00000
m2c125r6.htb   0.00     --     -- 0.4745 0.67650 0.4567 0.19200
m2c126r6.htb   0.00 0.4273 0.5729 0.4879 0.92050 0.5703 0.15950
m2c129r7.htb   0.00     --     -- 0.5592 0.37150 0.6323 0.00000
m2c131r7.htb   0.00 0.6317 0.6003 0.6190 0.06600 0.6488 0.00000
m2c132r7.htb   0.00 0.4219 0.5878 0.4219 0.39100 0.5797 0.00550
m2c133r5.htb   0.00 0.2875 0.4167 0.3810 0.31550 0.5134 0.79500
m2c134r7.htb   0.00 0.3873 0.5280 0.4539 0.53650 0.5222 0.47850
m2c135r5.htb   0.00 0.3737 0.7188 0.5499 0.58200 0.4936 0.86850
m2c137r5.htb   0.00 0.4635 0.4821 0.4621 0.69200 0.5074 0.88100
m2c138r7.htb   0.00     --     -- 0.7413 0.00000 0.6330 0.00000
m2c140r7.htb   0.00 0.7214 0.7549    NaN     NaN 0.5740 0.10400
m2c142r7.htb   0.00     --     -- 0.4758 0.72900 0.4388 0.01900
m2c144r6.htb   0.00 0.4667 0.1099 0.2664 0.01850 0.3320 0.00000
m2c145r8.htb   0.00 0.4545 0.5541 0.5541 0.58050 0.5019 0.95500
m2c147r7.htb   0.00 0.4805 0.6120 0.5447 0.52600 0.5631 0.04900
m2c148r6.htb   0.00     --     -- 0.5196 0.76600 0.6133 0.00050
m2c149r7.htb   0.00 0.3490 0.4700 0.4126 0.17000 0.5249 0.41500
m2c151r7.htb   0.00 0.6653 0.5794 0.6215 0.06250 0.5344 0.26200
m2c152r7.htb   0.00 0.6533 0.3788 0.5101 0.86950 0.4557 0.17550
m2c153r7.htb   0.00 0.5115 0.4786 0.4786 0.82900 0.4594 0.23150
