Time 0T1NLc 0T1NUc 0T1PRc 2T1NLc 2T1NUc 2T1PRc 4T1NLc 4T1NUc 4T1PRc 8T1NLc 8T1NUc 8T1PRc 16T1NLc 16T1NUc 16T1PRc 0T2NLc 0T2NUc 0T2PRc 2T2NLc 2T2NUc 2T2PRc 4T2NLc 4T2NUc 4T2PRc 8T2NLc 8T2NUc 8T2PRc 16T2NLc 16T2NUc 16T2PRc 
-300.00000	 17.83266	 20.21253	 20.67044	 16.35657	 19.39901	 20.33497	 16.66360	 20.17656	 20.80794	 19.26698	 19.80304	 21.01086	 17.58046	 19.99088	 21.08376	 18.04527	 17.80194	 21.54875	 16.21435	 18.76770	 19.95672	 17.72749	 19.77084	 21.28655	 18.27464	 19.52590	 17.53439	 18.09399	 19.43474	 21.62523	
-299.00000	 17.82832	 20.20146	 20.66480	 16.34459	 19.39835	 20.34607	 16.66147	 20.18784	 20.83510	 19.27571	 19.80985	 21.03366	 17.59444	 20.01163	 21.11714	 18.03737	 17.79805	 21.60252	 16.23041	 18.77769	 19.93498	 17.75100	 19.78866	 21.35966	 18.28422	 19.52161	 17.53455	 18.12517	 19.45322	 21.65233	
-298.00000	 17.82417	 20.18995	 20.65883	 16.33260	 19.39780	 20.35767	 16.66001	 20.19913	 20.86216	 19.28487	 19.81649	 21.05649	 17.60902	 20.03221	 21.15020	 18.02879	 17.79459	 21.65691	 16.24675	 18.78789	 19.91374	 17.77409	 19.80596	 21.43410	 18.29387	 19.51747	 17.53560	 18.15605	 19.47132	 21.67874	
-297.00000	 17.82022	 20.17806	 20.65255	 16.32063	 19.39738	 20.36980	 16.65924	 20.21042	 20.88911	 19.29442	 19.82293	 21.07937	 17.62417	 20.05261	 21.18293	 18.01956	 17.79156	 21.71191	 16.26337	 18.79834	 19.89302	 17.79675	 19.82272	 21.50977	 18.30358	 19.51349	 17.53755	 18.18661	 19.48903	 21.70443	
-296.00000	 17.81649	 20.16583	 20.64598	 16.30869	 19.39709	 20.38251	 16.65921	 20.22167	 20.91596	 19.30435	 19.82917	 21.10230	 17.63987	 20.07279	 21.21528	 18.00972	 17.78901	 21.76750	 16.28027	 18.80908	 19.87287	 17.81894	 19.83895	 21.58657	 18.31332	 19.50968	 17.54040	 18.21682	 19.50634	 21.72934	
-295.00000	 17.81299	 20.15331	 20.63915	 16.29681	 19.39696	 20.39581	 16.65993	 20.23288	 20.94272	 19.31462	 19.83519	 21.12526	 17.65607	 20.09274	 21.24723	 17.99933	 17.78694	 21.82368	 16.29745	 18.82013	 19.85333	 17.84066	 19.85464	 21.66438	 18.32307	 19.50605	 17.54417	 18.24663	 19.52326	 21.75344	
-294.00000	 17.80974	 20.14054	 20.63206	 16.28501	 19.39698	 20.40973	 16.66144	 20.24401	 20.96940	 19.32519	 19.84098	 21.14826	 17.67276	 20.11244	 21.27875	 17.98841	 17.78540	 21.88043	 16.31488	 18.83151	 19.83445	 17.86188	 19.86980	 21.74309	 18.33283	 19.50261	 17.54885	 18.27603	 19.53976	 21.77668	
-293.00000	 17.80674	 20.12756	 20.62475	 16.27331	 19.39718	 20.42430	 16.66375	 20.25505	 20.99599	 19.33602	 19.84652	 21.17130	 17.68990	 20.13186	 21.30982	 17.97703	 17.78439	 21.93774	 16.33257	 18.84326	 19.81625	 17.88258	 19.88441	 21.82257	 18.34256	 19.49936	 17.55445	 18.30498	 19.55585	 21.79903	
-292.00000	 17.80402	 20.11443	 20.61723	 16.26173	 19.39756	 20.43954	 16.66690	 20.26598	 21.02251	 19.34709	 19.85179	 21.19437	 17.70745	 20.15097	 21.34042	 17.96521	 17.78394	 21.99560	 16.35050	 18.85541	 19.79878	 17.90277	 19.89849	 21.90271	 18.35225	 19.49632	 17.56097	 18.33345	 19.57152	 21.82045	
-291.00000	 17.80158	 20.10119	 20.60952	 16.25028	 19.39812	 20.45548	 16.67090	 20.27678	 21.04895	 19.35836	 19.85680	 21.21746	 17.72539	 20.16976	 21.37051	 17.95303	 17.78406	 22.05397	 16.36867	 18.86798	 19.78206	 17.92241	 19.91203	 21.98338	 18.36188	 19.49349	 17.56840	 18.36140	 19.58676	 21.84091	
-290.00000	 17.79943	 20.08789	 20.60166	 16.23900	 19.39888	 20.47213	 16.67577	 20.28743	 21.07531	 19.36978	 19.86151	 21.24059	 17.74369	 20.18822	 21.40008	 17.94051	 17.78478	 22.11285	 16.38707	 18.88098	 19.76614	 17.94151	 19.92504	 22.06445	 18.37144	 19.49087	 17.57675	 18.38881	 19.60156	 21.86038	
-289.00000	 17.79758	 20.07456	 20.59366	 16.22788	 19.39985	 20.48952	 16.68154	 20.29792	 21.10160	 19.38133	 19.86591	 21.26373	 17.76231	 20.20630	 21.42911	 17.92771	 17.78611	 22.17220	 16.40568	 18.89445	 19.75104	 17.96006	 19.93752	 22.14579	 18.38089	 19.48848	 17.58600	 18.41565	 19.61592	 21.87882	
-288.00000	 17.79603	 20.06126	 20.58554	 16.21695	 19.40102	 20.50766	 16.68822	 20.30823	 21.12782	 19.39294	 19.87000	 21.28689	 17.78122	 20.22401	 21.45757	 17.91469	 17.78807	 22.23200	 16.42449	 18.90840	 19.73680	 17.97805	 19.94947	 22.22727	 18.39022	 19.48631	 17.59614	 18.44188	 19.62984	 21.89622	
