Time 0T1NLc 0T1NUc 0T1PRc n0T1NLc n0T1NUc n0T1PRc 0T2NLc 0T2NUc 0T2PRc n0T2NLc n0T2NUc n0T2PRc 
-300.00000	 17.17119	 19.02057	 18.52138	 16.90116	 17.87643	 18.96581	 16.88697	 17.20034	 19.17963	 16.67272	 17.77629	 18.53856	
-299.00000	 17.17879	 19.01799	 18.52148	 16.90644	 17.88794	 18.97878	 16.88605	 17.20125	 19.19461	 16.68040	 17.78066	 18.54611	
-298.00000	 17.18599	 19.01489	 18.52131	 16.91170	 17.89943	 18.99162	 16.88480	 17.20200	 19.20965	 16.68788	 17.78490	 18.55388	
-297.00000	 17.19278	 19.01131	 18.52088	 16.91694	 17.91087	 19.00435	 16.88326	 17.20260	 19.22477	 16.69516	 17.78904	 18.56187	
-296.00000	 17.19912	 19.00725	 18.52021	 16.92213	 17.92226	 19.01696	 16.88143	 17.20307	 19.23997	 16.70222	 17.79305	 18.57009	
-295.00000	 17.20499	 19.00274	 18.51931	 16.92728	 17.93358	 19.02946	 16.87933	 17.20340	 19.25526	 16.70906	 17.79696	 18.57855	
-294.00000	 17.21038	 18.99779	 18.51819	 16.93236	 17.94482	 19.04184	 16.87698	 17.20360	 19.27066	 16.71567	 17.80076	 18.58723	
-293.00000	 17.21527	 18.99242	 18.51688	 16.93737	 17.95595	 19.05412	 16.87438	 17.20367	 19.28618	 16.72203	 17.80446	 18.59615	
-292.00000	 17.21964	 18.98666	 18.51539	 16.94229	 17.96699	 19.06630	 16.87157	 17.20362	 19.30181	 16.72813	 17.80806	 18.60529	
-291.00000	 17.22346	 18.98053	 18.51373	 16.94711	 17.97789	 19.07837	 16.86856	 17.20345	 19.31758	 16.73398	 17.81155	 18.61466	
-290.00000	 17.22674	 18.97404	 18.51193	 16.95183	 17.98867	 19.09034	 16.86536	 17.20317	 19.33349	 16.73955	 17.81496	 18.62426	
-289.00000	 17.22944	 18.96722	 18.51001	 16.95643	 17.99930	 19.10222	 16.86200	 17.20277	 19.34955	 16.74485	 17.81827	 18.63408	
-288.00000	 17.23156	 18.96009	 18.50799	 16.96090	 18.00977	 19.11400	 16.85849	 17.20227	 19.36576	 16.74986	 17.82149	 18.64411	
-287.00000	 17.23309	 18.95268	 18.50588	 16.96523	 18.02007	 19.12568	 16.85486	 17.20167	 19.38214	 16.75458	 17.82462	 18.65436	
-286.00000	 17.23402	 18.94500	 18.50371	 16.96943	 18.03020	 19.13728	 16.85112	 17.20097	 19.39868	 16.75901	 17.82767	 18.66481	
-285.00000	 17.23434	 18.93708	 18.50150	 16.97347	 18.04013	 19.14879	 16.84729	 17.20017	 19.41540	 16.76314	 17.83064	 18.67546	
-284.00000	 17.23404	 18.92895	 18.49927	 16.97735	 18.04986	 19.16021	 16.84340	 17.19929	 19.43229	 16.76696	 17.83353	 18.68629	
-283.00000	 17.23313	 18.92064	 18.49705	 16.98106	 18.05939	 19.17154	 16.83945	 17.19832	 19.44937	 16.77047	 17.83635	 18.69731	
-282.00000	 17.23159	 18.91215	 18.49485	 16.98460	 18.06870	 19.18280	 16.83548	 17.19727	 19.46662	 16.77368	 17.83909	 18.70850	
-281.00000	 17.22942	 18.90352	 18.49271	 16.98797	 18.07778	 19.19397	 16.83150	 17.19615	 19.48407	 16.77657	 17.84175	 18.71985	
-280.00000	 17.22663	 18.89477	 18.49064	 16.99115	 18.08663	 19.20506	 16.82752	 17.19497	 19.50170	 16.77914	 17.84435	 18.73135	
-279.00000	 17.22321	 18.88593	 18.48868	 16.99415	 18.09524	 19.21607	 16.82357	 17.19372	 19.51951	 16.78141	 17.84687	 18.74299	
-278.00000	 17.21917	 18.87701	 18.48683	 16.99695	 18.10361	 19.22701	 16.81966	 17.19243	 19.53750	 16.78335	 17.84933	 18.75476	
-277.00000	 17.21452	 18.86805	 18.48513	 16.99957	 18.11173	 19.23787	 16.81581	 17.19109	 19.55568	 16.78498	 17.85172	 18.76664	
-276.00000	 17.20926	 18.85906	 18.48360	 17.00199	 18.11960	 19.24866	 16.81204	 17.18972	 19.57403	 16.78630	 17.85404	 18.77862	
-275.00000	 17.20339	 18.85007	 18.48226	 17.00422	 18.12720	 19.25937	 16.80837	 17.18833	 19.59256	 16.78730	 17.85629	 18.79070	
-274.00000	 17.19693	 18.84109	 18.48113	 17.00626	 18.13455	 19.27001	 16.80480	 17.18692	 19.61125	 16.78800	 17.85848	 18.80285	
-273.00000	 17.18990	 18.83216	 18.48025	 17.00810	 18.14163	 19.28059	 16.80135	 17.18551	 19.63010	 16.78838	 17.86061	 18.81506	
-272.00000	 17.18229	 18.82329	 18.47963	 17.00975	 18.14845	 19.29109	 16.79804	 17.18411	 19.64911	 16.78846	 17.86267	 18.82732	
-271.00000	 17.17413	 18.81449	 18.47929	 17.01121	 18.15501	 19.30153	 16.79488	 17.18273	 19.66825	 16.78823	 17.86467	 18.83961	
-270.00000	 17.16542	 18.80580	 18.47926	 17.01249	 18.16129	 19.31190	 16.79187	 17.18138	 19.68753	 16.78771	 17.86660	 18.85192	
-269.00000	 17.15620	 18.79723	 18.47956	 17.01358	 18.16732	 19.32221	 16.78904	 17.18009	 19.70694	 16.78689	 17.86847	 18.86424	
-268.00000	 17.14648	 18.78880	 18.48021	 17.01450	 18.17308	 19.33246	 16.78639	 17.17886	 19.72645	 16.78578	 17.87028	 18.87655	
-267.00000	 17.13626	 18.78053	 18.48123	 17.01524	 18.17858	 19.34265	 16.78392	 17.17772	 19.74606	 16.78439	 17.87202	 18.88884	
