3.477	5.513	2.62	3.477	2.061	8.244	7.431	4.537	4.465	3.748	13.861	9.358	8.064	8.064	6.592	15.221	2.62	3.477	6.183	6.05	4.316	5.081	4.316	12.537	12.615	4.122	5.968	15.883	14.697	8.984	9.917	8.65	2.492	13.66	9.41	4.316	5.513	10.337	4.95	3.477	6.931	8.65	2.492	3.748	7.733	3.57	4.983	12.871	1.512	4.679	0.572	2.061
3.748	5.239	1.98	6.183	8.401	2.492	3.501	6.183	2.1	4.201	11.902	0.99	4.983	5.716	0	9.616	2.061	3.748	6.301	3.477	2.62	0	4.983	6.739	2.1	2.8	9.2	3.501	3.183	6.86	2.492	6.301	4.537	16.102	1.143	1.715	3.477	0.99	2.62	5.601	4.573	2.492	6.301	0.7	2.858	4.201	2.8	3.025	10.502	7.001	2.62	4.573
8.204	6.223	3.03	4.428	0.808	2.915	1.497	4.266	2.505	3.563	2.077	8.165	2.294	3.218	2.707	4.413	3.528	2.657	2.611	14.511	2.294	2.538	2.582	4.796	2.398	8.804	3.402	6.879	4.457	5.728	4.278	10.894	6.86	4.81	3.674	6.58	3.017	2.899	2.962	6.345	4.185	4.755	4.505	5.292	5.888	2.207	5.189	7.832	3.294	3.931	3.157	5.338
2.425	3.17	2.357	5.659	3.43	4.391	5.623	3.908	4.573	3.271	1.808	2.957	3.284	3.66	4.072	2.195	4.942	4.353	2.957	3.382	4.942	6.123	5.27	5.423	9.235	1.715	4.876	2.041	3.078	0.948	2.041	5.995	5.68	2.915	4.278	1.808	2.195	2.475	5.137	4.465	6.123	2.8	3.835	3.078	4.501	3.271	4.306	9.68	2.915	3.908	4.528	3.382
2.195	2.957	5.564	6.907	0.99	4.876	7.117	0.948	4.95	3.271	4.042	4.072	6.518	15.767	7.365	3.991	7.32	7.019	6.229	8.284	7.117	5.564	5.623	8.555	2.97	9.751	1.278	2.62	4.876	6.931	3.705	9.323	2.915	3.66	2.727	4.201	5.716	0.808	8.893	7.253	4.162	4.042	2.357	2.604	5.851	4.537	3.078	2.492	3.66	4.748	6.925	4.783
3.991	6.333	2.041	6.733	4.455	5.83	0.948	4.501	8.782	1.715	8.683	4.042	9.785	9.02	6.077	2.681	3.131	3.284	4.201	4.152	3.17	7.669	3.835	6.016	6.543	10	1.246	6.123	0.99	10.333	2.425	2.62	3.558	2.62	4.042	0.572	3.333	3.465	3.17	3.824	5.858	6.877	2.041	0.495	1.896	3.748	4.528	3.465	2.604	5.016	1.485	2.62
2.457	2.557	6.961	2.557	4.033	0.409	1.476	1.831	4.095	1.876	2.866	5.629	1.083	6.304	1.476	2.047	2.739	0.409	0.709	2.974	2.866	0.819	1.083	0.409	4.054	0.409	0.709	2.953	3.906	4.722	3.639	0.709	6.703	3.198	2.128	4.033	1.418	4.333	12.064	2.685	0.409	4.965	5.463	1.876	4.156	2.167	1.228	0.709	2.557	1.083	4.033	3.276
2.937	7.294	8.347	9.064	3.997	13.729	7.158	7.294	10.84	7.902	7.712	6.785	3.178	8.183	6.167	10.581	4.82	3.597	4.676	9.886	4.368	3.401	4.537	4.516	5.078	3.705	4.587	3.284	6.167	6.545	4.717	4.505	3.796	7.654	5.164	17.005	15.758	4.779	7.194	8.092	9.691	12.473	16.576	13.726	32.751	17.583	13.146	6.238	11.502	13.521	4.293	11.003
5.63	2.061	2.1	4.001	3.57	2.492	0.572	1.4	1.715	4.465	4.95	2.8	1.143	4.201	2.62	11.202	4.901	0.7	5.601	2.8	7.497	3.43	3.57	4.201	1.143	7.001	1.4	6.023	8.401	2.061	2.061	4.465	2.1	7.859	9.101	2.287	2.62	3.183	0.7	3.748	4.201	6.592	4.983	17.61	2.8	4.901	6.493	4.001	2.061	2.492	1.4	1.512
4.465	1.383	2.896	3.702	3.365	7.115	4.019	5.136	5.584	3.386	3.976	3.55	5.157	3.511	4.729	5.688	3.895	5.724	7.921	3.354	5.84	5.915	6.247	5.211	6.733	4.195	3.792	8.28	7.938	4.256	3.528	3.075	3.083	2.939	7.148	4.099	3.853	2.011	1.687	3.386	4.148	4.517	3.468	1.176	2.214	2.643	2.721	2.92	2.664	2.203	4.385	1.183
