20,3.8799,13,5.1887
64,7.0667,70,9.8871
211,8.4458,26,2.4329
72,19.882,109,79.812
70,4.2352,290,9.9128
14,12.872,244,26.325
151,7.4008,247,10.21
348,5.8576,242,8.7331
212,9.3445,352,3.702
172,8.9155,244,25.364
290,5.8751,233,13.631
205,29.957,66,42.64
207,27.183,68,40.259
245,9.8712,247,25.063
118,8.0903,202,8.0743
113,1.7862,71,7.1815
222,9.0225,200,14.859
19,4.3919,295,3.8063
157,2.8325,250,4.4199
293,5.9644,246,6.3438
20,6.0223,297,12.878
206,8.7324,121,16.682
7,8.4171,114,14.061
209,6.1931,249,25.721
53,5.5181,176,4.486
69,2.4204,69,9.2856
161,6.6999,345,19.708
338,12.532,110,14.86
12,7.1102,242,28.831
206,2.3928,107,7.614
200,17.854,65,25.296
110,2.5668,296,23.326
149,9.1783,249,13.066
34,11.114,111,31.63
47,6.196,209,11.173
311,9.0386,72,14.062
17,6.7921,65,17.923
208,8.3877,246,17.384
357,3.7166,64,4.0418
115,6.6768,355,4.1005
188,8.3559,276,25.57
22,3.1078,62,5.4754
342,2.6663,109,11.825
31,4.2918,94,8.6938
287,4.4164,68,3.0168
202,7.5624,112,11.75
127,7.4034,119,13.598
22,4.5252,74,8.9701
53,7.5961,252,26.084
290,3.4764,67,13.917
275,3.9788,69,13.037
209,5.8859,76,3.8879
19,4.2411,249,15.986
200,8.7741,53,13.081
295,4.8177,247,10.51
21,5.3974,220,17.504
15,10.687,291,13.759
148,6.9431,70,14.801
296,1.8326,109,5.9697
245,7.6138,291,5.8849
70,7.6662,257,12.758
350,3.5695,207,6.545
346,6.5267,113,5.5474
111,3.7864,65,6.4608
102,3.772,64,16.633
61,11.714,298,20.853
202,12.887,112,12.275
149,8.2414,288,14.547
11,11.234,66,46.799
352,7.2883,68,22.702
246,3.5569,75,4.1677
346,1.4483,208,11.349
89,2.2651,255,9.4931
252,5.8468,67,7.2991
69,3.2648,234,3.4594
255,3.9706,211,4.2344
206,2.4944,72,2.5888
108,10.416,20,8.5779
238,7.0668,245,12.679
242,8.3548,290,12.633
179,6.4309,76,21.02
9,7.9077,292,16.23
357,7.9329,40,6.0585
166,8.572,70,22.231
205,19.891,293,17.734
122,8.2746,299,13.719
106,5.7661,18,13.32
156,15.506,236,20.392
292,9.0166,18,6.0996
153,15.107,247,28.439
141,5.5787,259,4.4956
