78.713	75.248	76.98	90.347	109.406	113.614	95.297	60.891	70.545	55.941	67.822	35.149	105.693	112.129	107.921	91.584	50	54.455	56.931	73.762	80.693	90.099	96.287	63.614	65.594	66.584	15.392	4.917	24.445	24.271	23.1	17.514	17.137	28.906	23.463	12.744	8.8	4.082	20.152	34.99	27.283	10.242	7.117	9.038	7.775	17.423	14.107	13.648	19.358	11.781	12.217	17.829
13.069	6.733	11.683	18.614	7.129	3.96	4.95	8.317	5.941	1.584	2.178	3.762	0.99	0.594	1.386	3.96	2.178	2.376	2.97	2.178	1.188	2.178	1.386	3.366	2.574	2.772	0.828	2.92	3.923	2.146	3.003	1.4	1.852	1.129	2.1	1.502	0.828	1.904	0.99	0.886	1.502	3.358	1.291	1.129	2.1	1.291	1.291	1.291	1.129	2.053	1.129	2.465
2.376	1.386	5.545	3.168	2.376	3.366	1.386	0.198	1.584	3.96	1.98	28.713	7.129	2.772	2.772	2.178	7.327	1.386	5.743	21.98	13.663	9.901	7.327	17.228	0.594	15.446	1.657	1.129	2.675	2.029	2.279	4.516	0.542	0.443	2.053	2.62	1.852	5.423	2.146	0.828	1.904	2.364	2.675	0.886	1.904	6.838	3.162	1.4	4.118	5.22	0.886	5.883
1.782	4.158	4.356	1.98	13.465	12.475	7.525	3.366	2.376	3.564	4.356	6.337	16.04	20.594	17.624	2.376	4.752	4.158	7.525	4.158	7.723	11.881	9.505	1.782	4.158	3.366	0.828	2.835	1.657	0.7	3.019	6.246	1.129	2.582	0.542	1.799	2.384	3.019	6.545	4.395	6.909	0.886	1.904	0.828	2.485	2.146	3.387	2.62	3.744	1.469	1.469	1.799
3.218	30.941	14.604	3.96	3.465	5.198	5.198	2.475	20.297	42.574	50.99	10.891	4.455	4.208	1.733	2.97	33.663	13.861	11.881	4.208	2.723	4.208	6.188	5.198	5.446	6.683	1.691	5.68	5.623	0.808	1.278	2.195	0.495	1.715	2.492	6.21	5.145	1.808	1.278	2.727	0.948	0	2.139	0.808	3.877	0.495	1.485	1.246	1.874	1.485	2.97	0.495
8.119	8.911	7.921	6.535	14.851	24.554	11.485	4.752	7.921	5.941	6.931	8.515	42.574	43.366	36.832	2.376	7.525	14.257	9.307	10.891	13.069	22.574	20.594	4.554	9.505	10.693	1.627	2.322	1.213	2.384	3.284	3.923	2.852	1.627	2.524	2.214	1.98	2.675	1.852	1.085	2.92	1.129	2.582	3.328	1.657	4.316	2.258	2.747	4.282	1.502	2.582	2.258
52.079	42.376	47.129	48.713	34.059	33.267	38.614	54.653	48.119	23.564	22.178	25.149	21.782	19.604	24.158	62.574	31.881	26.139	30.693	39.406	32.277	24.356	20.99	20.594	27.327	32.277	3.997	3.387	6.515	6.62	9.304	6.952	5.941	5.116	3.328	7.323	7.16	3.472	3.43	3.239	4.931	5.748	6.47	5.965	3.131	5.486	3.401	8.031	5.116	3.387	4.118	2.279
48.185	51.815	47.195	34.323	61.056	62.706	68.317	43.234	56.436	32.673	24.752	14.851	51.485	66.997	62.046	22.772	31.683	23.762	24.752	25.413	34.653	42.574	30.693	13.201	16.832	23.102	15.156	7.163	4.122	9.917	7.431	8.303	5.239	6.05	1.98	6.023	5.145	4.537	5.513	4.001	8.984	2.97	1.715	5.145	1.98	4.884	3.96	4.537	5.941	6.05	3.96	5.801
15.842	11.683	11.089	16.634	26.931	39.604	34.851	13.861	9.109	10.099	8.515	9.703	33.861	35.644	25.941	2.97	8.119	20.198	21.98	10.495	10.495	8.911	9.703	6.931	13.267	10.495	2.524	3.239	3.86	4.282	2.747	3.43	3.162	2.214	3.923	1.771	1.129	1.627	6.62	4.372	0.828	2.524	3.314	2.384	4.769	1.129	2.053	3.284	2.364	2.97	4.461	4.177
12.871	28.713	31.683	15.842	12.376	16.337	19.802	14.356	24.257	45.05	50.99	9.406	25.743	15.347	12.376	13.861	57.921	38.119	49.01	30.198	16.832	19.802	12.376	22.277	42.079	23.762	1.4	1.4	1.4	5.601	0.7	4.901	8.401	0.7	7.701	3.501	3.501	0.7	1.4	4.901	0.7	1.4	3.501	3.501	2.1	3.501	2.8	4.201	3.501	2.1	0.7	2.8
