5.097	2.747	3.501	3.162	4.728	4.665	9.941	4.8	1.93	5.304	5.164	5.068	6.278	7.995	5.748	1.328	4.282	10.097	7.442	6.006	2.258	4.676	6.59	4.612	5.941	7.16	6.079	5.486	5.539	5.832	7.669	3.923	5.164	6.553	5.583	2.146	6.167	2.146	2.62	0.886	2.937	1.627	2.711	2.146	1.565	3.178	2.747	3.239	3.997	1.627	1.565	8.671
6.766	9.325	6.285	7.119	2.747	2.92	5.916	7.015	12.394	7.276	5.883	6.079	9.46	7.16	7.228	9.916	9.219	5.378	13.18	7.637	7.363	7.022	6.73	5.332	3.542	12.374	7.188	2.279	3.665	3.936	5.713	2.465	2.887	8.031	6.53	1.328	4.696	7.194	8.296	7.586	3.314	5.126	3.997	5.79	1.213	5.164	3.923	2.92	4.35	4.118	2.937	5.359
3.019	3.084	2.485	5.019	2.675	3.084	2.747	2.029	2.258	3.873	6.62	5.267	5.883	5.627	5.557	2.279	3.239	5.45	2.053	4.591	3.898	4.282	3.084	2.582	4.235	7.921	2.835	2.169	4.559	4.058	7.618	4.537	4.623	4.118	2.053	2.364	0.828	1.291	1.852	0.886	1.657	1.852	1.657	1.085	3.239	1.852	1.715	0.886	1.129	0.828	0.886	2.053
5.495	12.158	3.923	5.627	7.057	4.106	9.965	5.748	10.936	10.673	8.5	8.266	8.699	8.165	7.752	7.586	10.755	20.08	8.025	14.993	5.816	5.644	10.557	8.705	19.117	14.999	12.532	11.483	3.239	10.266	9.101	3.597	9.198	10.375	9.085	11.362	8.284	8.086	9.198	8.845	9.047	8.534	8.419	16.066	5.126	10.073	7.656	8.025	5.965	9.766	9.304	9.356
3.314	3.731	4.612	9.891	2.384	6.545	3.96	5.078	4.591	5.627	2.582	3.528	5.173	7.521	4.395	7.022	4.046	3.003	4.98	3.809	3.239	2.146	5.192	3.1	4.665	3.178	1.469	4.177	1.085	0.542	1.469	1.4	1.129	2.657	1.291	1.627	4.82	1.93	0.99	1.085	2.747	3.472	2.169	3.744	3.705	7.637	4.293	5.211	7.329	4.559	3.1	7.389
7.057	3.809	2.582	6.838	5.841	2.1	3.003	3.387	3.458	3.923	7.296	7.796	3.611	4.165	5	4.612	4.644	5.756	6.355	2.214	5.575	1.799	3.239	3.678	0.7	3.528	3.57	2.711	2.214	3.358	2.465	3.019	3.458	1.904	2.146	4.35	1.328	1.502	4.106	3.873	2.937	7.846	4.058	2.146	6.285	6.477	3.542	0.886	2.937	4.35	3.003	3.744
5.192	4.569	3.796	2.364	4.95	3.328	6.394	5.575	2.8	3.665	3.597	2.765	3.019	5.45	5.486	3.611	6.262	7.228	6.087	5.019	3.387	6.159	6.324	3.997	7.846	4.779	3.401	2.747	2.053	3.528	7.222	3.019	3.665	1.627	1.657	2.279	4.931	4.293	3.873	3.665	3.239	8.586	1.771	2.711	3.77	1.657	2.524	0.886	1.129	2.747	4.177	1.904
4.559	1.4	3.678	6.285	2.62	3.997	3.1	2.582	3.084	3.387	5.627	5	2.053	4.461	4.748	4.537	2.675	4.316	4.106	4.769	2.053	5.799	1.657	4.612	3.96	4.97	1.502	6.207	4.046	6.394	3.328	2.852	3.019	5.539	6.087	3.084	3.284	6.59	1.852	4.612	5.049	3.401	4.97	2.675	3.731	3.084	2.711	2.258	3.084	1.799	1.129	3.131
3.328	7.323	3.744	4.779	6.439	4.98	5.874	6.006	3.898	3.019	2.146	3.501	6.159	4.338	2.8	3.162	4.98	3.731	3.57	5.53	3.665	5.486	8.031	5.378	5.618	3.985	4.665	3.328	4.35	2.675	4.282	4.395	2.258	3.052	3.638	0.828	3.873	6.143	3.744	2.887	3.528	1.771	2.835	1.627	1.904	1.213	3.809	1.904	2.675	3.744	3.458	2.582
3.178	1.715	1.93	2.279	8.242	7.396	6.316	2.675	7.105	4.235	3.611	3.019	7.329	4.35	0.828	6.642	3.86	4.591	10.641	4.428	5.486	4.406	5.557	5.405	6.238	6.59	3.96	5.998	4.45	3.528	2.937	2.258	1.502	7.105	7.429	8.001	4.623	2.279	3.898	3.052	6.693	4.516	8.301	2.563	2.835	0.828	5.832	4.612	3.052	2.657	8.699	3.328
