File CtrSize ShiftRatio PInd ShiftRatioPaired PPaired PGaussCtr Spont Baserate1 Amplitude1 GaussCtr1 GaussSD1 Freq1 Phase1 Baserate2 Amplitude2 GaussCtr2 GaussSD2 Freq2 Phase2
 m3c826r6.htb  14.0000  -0.1568   0.7531   0.1063   0.5976   0.6547   6.9767  69.1823  15.4064   1.3490   1.1211   0.1934   3.3929  71.6656  16.3779   1.4528   1.1211   0.1934   3.3929
 m3c826r6.htb  14.0000   0.0833   0.8612   0.1638   0.2905   0.9761   6.9767  66.7749  12.2537   1.3862   1.8142   0.1934   3.2529  70.3576  13.0555   1.6000   1.8142   0.1934   3.2529
 m3c826r6.htb  14.0000   0.3889   0.5213   0.4384   0.0976   0.9101   6.9767  68.4666  16.3069   0.7267   0.8950   0.1934   2.5608  70.8381  16.9391   0.9693   0.8950   0.1934   2.5608
 m3c826r6.htb  14.0000   0.0439   0.2728   0.3105   0.0377   0.8195   6.9767  68.3983  14.7787   0.8695   1.0923   0.1934   2.8096  72.0555  15.0764   1.1844   1.0923   0.1934   2.8096
 m3c826r6.htb  14.0000  -0.4383   0.9106   0.2144   0.6332   0.8576   6.9767  71.9040  16.7422   1.2564   0.9346   0.1934   3.1229  73.1959  16.2650   1.3358   0.9346   0.1934   3.1229
 m3c828r7.htb  13.0000   0.4462   0.0045  -0.4583   0.0575   0.0093   0.6645  35.1096   9.7314   0.5371   1.2585   0.2109   1.9354  34.4380  15.1610   0.2998   1.2585   0.2109   1.9354
 m3c828r7.htb  13.0000   0.3378   0.0118  -0.2190   0.1118   0.0158   0.6645  34.0597   8.3691   0.3345   1.6388   0.2109   1.5491  29.9520  16.6256   0.1011   1.6388   0.2109   1.5491
 m3c828r7.htb  13.0000   0.1745   0.2405  -0.0311   0.7430   0.1477   0.6645  36.0051  11.4705   0.5878   1.0145   0.2109   2.0765  38.4814  26.5827   0.5514   1.0145   0.2109   2.0765
 m3c828r7.htb  13.0000  -0.1241   0.1692   0.0437   0.4516   0.1198   0.6645  35.9837  11.4720   0.5841   1.0147   0.2109   2.0693  36.6946  22.5314   0.6699   1.0147   0.2109   2.0693
 m3c828r7.htb  13.0000   0.0123   0.7838   0.1114   0.5451   0.7126   0.6645  31.6469  12.3089  -1.0141   2.7476   0.2175   6.2832  28.1774  15.5506  -0.9639   2.7476   0.2175   6.2832
 m3c828r7.htb  13.0000   0.0350   0.1398   0.1457   0.0403   0.4264   0.6645  35.2783  15.0993   0.4598   1.2850   0.2109   2.1966  37.8668  22.9585   0.6187   1.2850   0.2109   2.1966
 m3c828r7.htb  13.0000   0.1311   0.0044   0.1998   0.0002   0.6512   0.6645  34.5310  14.2820   0.3614   1.4138   0.2109   2.0388  35.0525  18.5399   0.6641   1.4138   0.2109   2.0388
 m3c828r7.htb  13.0000  -0.1709   0.1612   0.1963   0.1439   0.2182   0.6645  31.6828  17.4997   0.4077   1.4662   0.2109   2.0286  36.4565  21.2956   0.5233   1.4662   0.2109   2.0286
 m3c828r7.htb  13.0000   0.0807   0.0155   0.2580   0.0018   0.4454   0.6645  30.5391  16.4898   0.2293   1.6659   0.2109   1.7482  33.5923  17.1968   0.4948   1.6659   0.2109   1.7482
 m3c828r7.htb  13.0000   0.1986   0.4681   0.2716   0.0740   0.9339   0.6645  38.3658  24.5030   0.6017   1.1493   0.2109   2.1709  36.5757  20.7988   0.7291   1.1493   0.2109   2.1709
 m3c830r8.htb   8.0000   0.0551   1.0000   0.1064   0.6453   1.0000   1.0631  14.3917  17.4020   0.2163   0.2949   0.4140   1.1698  13.2310  12.6703   0.2435   0.2949   0.4140   1.1698
 m3c830r8.htb   8.0000  -0.0713   0.8893   0.0092   0.8862   0.7761   1.0631  14.2255  17.4020   0.1894   0.2794   0.4083   1.0928  18.0894  15.3852   0.1813   0.2794   0.4083   1.0928
 m3c830r8.htb   8.0000   0.0647   0.0095   0.1050   0.0083   0.0890   1.0631  14.1279  16.6670   0.1793   0.3235   0.3491   1.1080  19.2746  17.0432   0.3301   0.3235   0.3491   1.1080
 m3c830r8.htb   8.0000   0.0507   0.0520   0.0642   0.1464   0.0636   1.0631  13.8733  17.4020   0.1258   0.2855   0.3190   1.0128  18.4640  20.0982   0.2132   0.2855   0.3190   1.0128
 m3c830r8.htb   8.0000  -0.2082   1.0000  -0.0779   0.5021   1.0000   1.0631  13.3770  13.8140   0.2774   0.2608   0.6396   1.1169  18.4635  15.6065   0.2510   0.2608   0.6396   1.1169
 m3c830r8.htb   8.0000   0.0698   0.6394   0.1251   0.1637   0.8914   1.0631  13.8687   7.8874   0.4278   0.5484   0.2813   1.5147  20.4356  12.3957   0.5719   0.5484   0.2813   1.5147
 m3c830r8.htb   8.0000   0.0492   0.4064   0.1274   0.1131   0.6767   1.0631  13.9082   6.6224   0.4348   0.6410   0.2813   1.5349  20.1046  11.4986   0.6132   0.6410   0.2813   1.5349
