-0.37059	-0.39653	-0.8986	1.45061	1.13341	0.9802
-0.31524	-0.05596	-1.07831	1.21077	1.27531	1.3002
-0.30452	-0.54683	-0.81446	1.02731	0.89491	0.58034
-0.59739	-0.80493	-1.56864	1.59833	1.99895	2.02601
-0.97265	-0.4437	-0.71965	1.23199	1.21866	1.05888
-0.22907	-0.61279	-0.79778	1.7189	1.2712	1.44892
-0.8687	-0.34199	-2.13668	0.69851	1.25401	0.86535
-0.00665	-0.34785	-0.35301	1.61122	1.55261	1.57189
-0.47978	-0.33013	-0.66535	1.66485	1.45567	1.5174
-0.57692	-0.43344	-0.95546	1.05623	1.24821	1.10336
-0.73424	-0.81333	-1.27654	1.83618	1.85118	1.93107
-0.4086	-0.33536	-0.5583	1.48078	1.00349	1.51344
-0.57561	-0.45568	-0.6045	1.20169	1.19885	0.84172
-0.77833	-0.03236	-0.05032	1.33044	1.8442	1.74351
-0.537	0.22469	0.26385	1.97075	1.7657	1.9023
-0.45531	-0.16412	-0.96218	1.74453	1.92129	1.7388
-0.42308	-0.20705	-0.71242	1.32102	1.6026	1.33612
-0.20495	-0.22959	-0.33423	2.48664	2.38289	2.56507
-0.34228	-0.6119	-0.87811	1.40799	1.45803	1.54453
-0.914	-0.91793	-1.18111	1.14653	1.09847	1.10124
-1.41908	-0.68782	-0.6293	0.69064	1.46052	1.32436
-0.78915	-0.5391	-1.32057	1.76701	1.64262	1.78282
-0.91257	-0.47121	-0.86296	1.28825	1.38621	1.35899
-0.34515	-0.13218	-0.32772	2.03199	1.61636	1.63755
