0,4.4554,0.85745,20.7921,4.2586
45,8.1188,1.2814,20.7921,3.5005
67.5,8.9109,2.1579,21.2871,2.9565
90,8.1188,1.1819,12.2772,3.4227
112.5,7.7228,1.898,5.5446,1.3376
135,9.1584,1.0206,7.1287,1.8324
180,9.505,2.2305,3.5644,1.3376
225,11.1386,2.2641,6.5347,1.4262
270,4.9505,1.0694,18.3168,2.8724
315,8.5149,1.6641,21.2871,6.1368
