40.59	109.9	115.59	98.27	66.34	63.37	80.94	88.32	92.57	73.27	103.96	25	22.77	34.41	36.63	30.2	42.82	68.06931	53.96	56.93	25	352.7	200.94	0.12	0
53.27	174.26	120.3	95.54	92.82	89.11	120.54	160.15	153.22	139.6	181.68	200	184.41	144.8	105.45	101.24	112.13	99.50495	102.48	144.06	194.31	286.73	349.84	0	0
32.43	22.77	41.34	35.89	38.37	40.35	56.44	45.3	56.44	47.52	54.95	87.62	83.17	100	177.97	173.02	67.82	82.92079	74.75	18.32	45.54	208.74	91.61	0.61	0.03
42.57	80.45	67.82	50.5	92.08	67.57	142.82	126.49	117.33	54.7	71.53	67.57	69.9	70.89	45.79	22.03	26.73	23.51485	15.84	28.71	36.39	158.12	28.55	0	0
50	82.84	83.91	60.15	83.42	82.84	106.6	113.12	135.31	93.56	94.06	128.71	100.25	101.98	112.21	96.78	81.93	65.34653	53.14	54.79	93.73	206.49	38.12	0	0
46.93	44.55	53.22	42.57	64.85	49.5	38.86	40.1	42.08	41.09	70.54	71.29	57.18	50.25	42.57	71.78	46.53	30.44554	42.08	43.07	50.99	14.89	7.33	0.73	0.68
48.91	58.17	69.11	65.84	52.72	78.22	50.74	68.32	49.01	63.86	60.89	58.61	48.02	42.97	32.92	33.42	61.88	42.57426	41.58	38.12	53.96	339.95	18.29	0.57	0.38
49.11	86.73	126.34	97.03	83.56	116.04	83.56	78.42	78.22	86.93	100.4	70.5	63.17	105.54	123.96	90.3	88.12	52.27723	48.91	89.5	69.11	19.07	75.63	0.85	0.12
45.21	70.69	72.28	49.5	59.01	60	57.62	40.4	42.77	40.99	60.2	81.58	65.35	69.7	80.4	51.49	58.02	46.93069	60.4	64.75	76.24	34.97	7	0.22	0.59
29.31	44.8	39.01	36.88	45.05	41.34	47.28	29.95	33.42	46.34	53.71	18.32	26.98	41.78	141.34	120.79	83.66	47.72277	26.24	30.2	27.23	355.39	114.41	0.1	0
46.34	84.55	69.7	68.71	58.61	69.31	79.21	69.31	71.88	78.81	96.04	57.62	62.38	60.79	66.73	63.76	69.7	69.70297	67.72	72.08	69.11	307.28	208.14	1	1
37.46	96.83	81.98	60.59	67.92	67.72	74.06	92.74	81.58	81.78	109.9	97.23	111.29	85.94	60.2	56.6	49.9	45.14851	51.88	73.07	108.91	307.36	354.7	0	0
36.04	56.63	72.48	105.74	112.48	125.35	118.61	100.99	47.92	20.59	34.06	30.5	29.31	29.31	46.53	41.39	61.19	50.09901	62.57	70.1	45.15	117.18	213.28	0	0
44.06	61.19	103.96	116.83	114.65	89.11	38.81	72.87	103.76	78.22	127.92	65.94	51.68	51.68	50.89	54.65	77.82	50.29703	76.04	84.36	67.33	332.81	258.25	0.96	0.99
49.7	63.76	69.9	55.45	63.37	58.42	63.56	43.37	55.05	59.21	63.56	44.55	49.5	58.42	55.05	50.1	47.52	42.37624	39.8	37.82	44.95	25.38	74.43	0.8	0.53
47.33	67.72	67.33	73.47	84.16	77.62	100.79	94.65	76.83	93.07	96.44	39.6	44.75	58.81	49.7	67.52	82.77	66.53465	60.4	87.33	100.79	198.87	247.65	0.73	0.01
50.89	66.73	51.29	48.51	63.56	75.45	79.8	88.71	72.28	56.83	62.57	40	40.2	37.82	30.89	34.85	36.83	38.21782	31.29	31.88	46.34	175.25	354.56	0.1	0.83
38.61	56.83	55.64	52.08	60.59	52.08	51.88	51.49	67.33	60.59	58.81	47.33	49.11	50.69	35.84	39.6	64.55	47.52475	51.29	39.8	55.05	278.58	171.79	0.99	0.91
42.77	90.84	115.45	156.04	160.2	163.96	147.33	96.83	95.05	85.64	99.41	215.25	341.19	385.64	422.03	438.61	315.45	134.2574	67.33	69.11	124.36	101.7	78.43	0	0
45.74	53.66	48.71	33.07	53.86	47.72	43.17	49.9	55.05	78.02	76.44	79.8	61.98	47.13	57.43	56.83	46.73	43.16832	55.64	118.81	140.59	293.61	311.09	0	0
45.35	73.86	76.63	82.97	63.17	68.71	52.67	64.36	62.97	87.72	78.02	100.2	126.53	135.45	139.41	264.95	253.66	218.2178	126.53	80.79	72.87	318.5	142.82	0.79	0
52.67	73.66	78.22	54.46	71.68	75.64	74.65	58.81	80.79	63.17	78.22	77.62	82.38	69.31	87.13	64.95	80.4	81.18812	69.5	69.5	66.73	15.02	96.47	0.96	0.96
28.91	56.63	45.74	31.49	35.25	44.16	40.59	50.89	62.18	77.43	55.25	30.5	21.58	21.39	29.5	52.08	64.36	82.77228	245.15	222.97	58.81	274	238.35	0.07	0
53.71	161.63	101.65	132.34	161.06	127.39	195.05	178.22	227.39	206.93	171.29	79.54	78.55	104.29	150.83	148.51	140.59	87.87129	113.86	193.81	120.79	223.97	228.76	0.23	0.23
35.15	70.3	64.95	51.49	56.04	48.91	59.6	61.98	66.14	62.38	58.61	117.62	161.19	179.41	126.73	55.25	33.66	35.24752	32.67	35.25	99.21	316.3	31.77	0.78	0
50.3	161.63	177.23	131.44	109.41	92.08	95.05	141.09	101.98	121.78	142.33	137.87	113.61	115.1	108.66	173.27	131.44	170.297	119.8	103.47	97.77	3.95	157.89	0.68	0.47
18.61	25.15	27.13	32.28	34.06	36.24	27.92	31.29	27.33	18.02	21.39	35.25	26.93	56.83	91.29	53.86	38.42	23.9604	14.85	20.4	16.44	117.97	87.42	0.47	0
