-9,0.052247
-8.9,0.054203
-8.8,0.056217
-8.7,0.058289
-8.6,0.060421
-8.5,0.062613
-8.4,0.064866
-8.3,0.067182
-8.2,0.069562
-8.1,0.072006
-8,0.074515
-7.9,0.07709
-7.8,0.079733
-7.7,0.082443
-7.6,0.085222
-7.5,0.088071
-7.4,0.09099
-7.3,0.09398
-7.2,0.097043
-7.1,0.10018
-7,0.10339
-6.9,0.10667
-6.8,0.11002
-6.7,0.11346
-6.6,0.11696
-6.5,0.12055
-6.4,0.12421
-6.3,0.12794
-6.2,0.13176
-6.1,0.13565
-6,0.13962
-5.9,0.14367
-5.8,0.1478
-5.7,0.152
-5.6,0.15629
-5.5,0.16065
-5.4,0.16509
-5.3,0.16962
-5.2,0.17422
-5.1,0.17889
-5,0.18365
-4.9,0.18848
-4.8,0.1934
-4.7,0.19839
-4.6,0.20345
-4.5,0.2086
-4.4,0.21381
-4.3,0.21911
-4.2,0.22448
-4.1,0.22992
-4,0.23543
-3.9,0.24102
-3.8,0.24668
-3.7,0.25241
-3.6,0.25821
-3.5,0.26408
-3.4,0.27001
-3.3,0.27601
-3.2,0.28208
-3.1,0.2882
-3,0.29439
-2.9,0.30065
-2.8,0.30696
-2.7,0.31332
-2.6,0.31975
-2.5,0.32623
-2.4,0.33276
-2.3,0.33934
-2.2,0.34597
-2.1,0.35265
-2,0.35938
-1.9,0.36615
-1.8,0.37296
-1.7,0.37981
-1.6,0.3867
-1.5,0.39363
-1.4,0.40059
-1.3,0.40758
-1.2,0.4146
-1.1,0.42164
-1,0.42872
-0.9,0.43581
-0.8,0.44293
-0.7,0.45006
-0.6,0.45722
-0.5,0.46438
-0.4,0.47156
-0.3,0.47874
-0.2,0.48594
-0.1,0.49313
0,0.50033
0.1,0.50753
0.2,0.51473
0.3,0.52192
0.4,0.52911
0.5,0.53628
0.6,0.54345
0.7,0.5506
0.8,0.55773
0.9,0.56484
1,0.57194
1.1,0.57901
1.2,0.58605
1.3,0.59307
1.4,0.60006
1.5,0.60701
1.6,0.61394
1.7,0.62082
1.8,0.62767
1.9,0.63448
2,0.64124
2.1,0.64796
2.2,0.65464
2.3,0.66127
2.4,0.66785
2.5,0.67437
2.6,0.68085
2.7,0.68727
2.8,0.69363
2.9,0.69993
3,0.70618
3.1,0.71236
3.2,0.71849
3.3,0.72455
3.4,0.73054
3.5,0.73647
3.6,0.74233
3.7,0.74812
3.8,0.75384
3.9,0.7595
4,0.76508
4.1,0.77059
4.2,0.77602
4.3,0.78138
4.4,0.78667
4.5,0.79188
4.6,0.79702
4.7,0.80208
4.8,0.80706
4.9,0.81197
5,0.81679
5.1,0.82154
5.2,0.82621
5.3,0.8308
5.4,0.83532
5.5,0.83975
5.6,0.84411
5.7,0.84839
5.8,0.85259
5.9,0.85671
6,0.86075
6.1,0.86471
6.2,0.8686
6.3,0.8724
6.4,0.87613
6.5,0.87979
6.6,0.88336
6.7,0.88686
6.8,0.89029
6.9,0.89364
7,0.89691
7.1,0.90011
7.2,0.90324
7.3,0.9063
7.4,0.90928
7.5,0.9122
7.6,0.91504
7.7,0.91781
7.8,0.92051
7.9,0.92315
8,0.92572
8.1,0.92822
8.2,0.93066
8.3,0.93303
8.4,0.93534
8.5,0.93759
8.6,0.93978
8.7,0.9419
8.8,0.94397
8.9,0.94598
9,0.94793
