FILE	         CP	
m2c72r6  NaN  NaN 0.557 0.711 0.546 0.604 0.600 0.701  NaN  NaN  NaN 0.637 0.637 
m2c72r6  NaN  NaN 0.557 0.711 0.546 0.604 0.600 0.701  NaN  NaN  NaN 0.637 0.637 
m2c69r2  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN 
c69r2  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN 
m2c69r2.htb  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN 
m2c72r6.htb  NaN  NaN 0.557 0.711 0.546 0.604 0.600 0.701  NaN  NaN  NaN 0.637 0.637 
m2c72r6.htb  NaN  NaN 0.557 0.711 0.546 0.604 0.600 0.701  NaN  NaN  NaN 0.637 0.637 
m2c72r6.htb  NaN  NaN 0.557 0.711 0.546 0.604 0.600 0.701  NaN  NaN  NaN 0.637 0.637 
m2c72r6.htb  NaN  NaN 0.557 0.711 0.546 0.604 0.600 0.701  NaN  NaN  NaN 0.637 0.637 
m2c72r6.htb  NaN  NaN 0.557 0.711 0.546 0.604 0.600 0.701  NaN  NaN  NaN 0.637 0.637 
m2c72r7.htb 0.693 0.865 0.764 0.764 0.693 
m2c72r7.htb 0.693 0.865 0.764 0.764 0.693 
m2c72r6.htb  NaN  NaN 0.557 0.711 0.546 0.604 0.600 0.701  NaN  NaN  NaN 0.657 0.606 
m2c61r5  NaN  NaN 0.540 0.359 0.521 0.308 0.412 0.233 0.417  NaN  NaN 0.485 0.370 
m2c72r6  NaN  NaN 0.557 0.711 0.546 0.604 0.600 0.701  NaN  NaN  NaN 0.657 0.606 
m2c72r6  NaN  NaN 0.557 0.711 0.546 0.604 0.600 0.701  NaN  NaN  NaN 0.657 0.606 
m2c20r2  NaN  NaN 0.740  NaN 0.830 0.440 0.554 0.565 0.550  NaN  NaN 0.538 0.786 
m2c31r2  NaN  NaN  NaN  NaN  NaN  NaN 0.599  NaN 0.785  NaN  NaN 0.683  NaN 
m2c31r2  NaN  NaN  NaN  NaN  NaN  NaN 0.385  NaN 0.605  NaN  NaN 0.495  NaN 
m2c31r2  NaN  NaN  NaN  NaN  NaN  NaN 0.516  NaN 0.800  NaN  NaN 0.648  NaN 
m2c31r2  NaN  NaN  NaN  NaN  NaN  NaN 0.516  NaN 0.800  NaN  NaN 0.648  NaN 
m2c31r2  NaN  NaN  NaN  NaN  NaN  NaN 0.588  NaN 0.780  NaN  NaN 0.682  NaN 
m2c31r2  NaN  NaN  NaN  NaN  NaN  NaN 0.588  NaN 0.780  NaN  NaN 0.682  NaN 
m2c31r2  NaN  NaN  NaN  NaN  NaN  NaN 0.588  NaN 0.780  NaN  NaN 0.682  NaN 
m2c34r1  NaN  NaN 0.354 0.733 0.667  NaN  NaN  NaN  NaN  NaN  NaN 0.580 
m2c35r2  NaN  NaN 0.452 0.396 0.379 0.298  NaN  NaN  NaN  NaN  NaN  NaN 0.416 
m2c35r2  NaN  NaN 0.510 0.389 0.386 0.423  NaN  NaN  NaN  NaN  NaN  NaN 0.428 
m2c35r2  NaN  NaN 0.510 0.389 0.386 0.423  NaN  NaN  NaN  NaN  NaN  NaN 0.428 
m2c35r2  NaN  NaN 0.510 0.389 0.386 0.423  NaN  NaN  NaN  NaN  NaN  NaN 0.428 
m2c56r2  NaN  NaN  NaN  NaN 0.688 0.412 0.581 0.538 0.631  NaN  NaN 0.688 0.587 
m2c61r5  NaN  NaN 0.540 0.359 0.521 0.308 0.412 0.233 0.417  NaN  NaN 0.485 0.370 
m2c61r5  NaN  NaN 0.653 0.293 0.271 0.399 0.423 0.093 0.554  NaN  NaN 0.426 0.380 
m2c82r3  NaN  NaN  NaN 0.824 0.840 0.831 0.890  NaN  NaN 0.852 0.824 
m2c35r2  NaN  NaN 0.510 0.389 0.386 0.423  NaN  NaN  NaN  NaN  NaN  NaN 0.428 
m2c61r5  NaN  NaN 0.653 0.293 0.271 0.399 0.423 0.093 0.554  NaN  NaN 0.426 0.380 
m2c84r4  NaN  NaN  NaN  NaN 0.700 0.683 0.929  NaN  NaN  NaN 0.800 0.700 
m2c134r2  NaN  NaN  NaN 1.000 0.983 0.667  NaN  NaN  NaN  NaN  NaN 0.996  NaN 
m2c134r2  NaN  NaN  NaN 1.000 0.983 0.667  NaN  NaN  NaN  NaN  NaN 0.996  NaN 
m5c14r4  NaN  NaN  NaN 0.664 0.776 0.727 0.548 0.609  NaN 0.664 0.639 
m5c14r4  NaN  NaN  NaN 0.664 0.776 0.727 0.548 0.609  NaN 0.664 0.639 
m5c33r4  NaN  NaN 0.667 0.380 0.217 0.545 0.580 0.313  NaN 0.532 0.506 
m5c56r2  NaN  NaN 0.520 0.439 0.633 0.638 0.454  NaN  NaN 0.476 0.550 
m5c80r3  NaN  NaN  NaN 0.400 0.000  NaN  NaN  NaN  NaN  NaN 0.400 
m5c80r3  NaN  NaN  NaN 0.400 0.000  NaN  NaN  NaN  NaN  NaN 0.400 
m5c80r3  NaN  NaN  NaN 0.400 0.000  NaN  NaN  NaN  NaN  NaN 0.400 
m5c80r3  NaN  NaN  NaN 0.400 0.000  NaN  NaN  NaN  NaN  NaN 0.400 
m5c80r3  NaN  NaN  NaN 0.400 0.000  NaN  NaN  NaN  NaN  NaN 0.400 
m5c70r2  NaN  NaN  NaN 0.700 0.960  NaN  NaN  NaN  NaN 0.700  NaN 
