FILE	       10_bias	 20_bias	 30_bias	 10_thresh	 20_thresh	 30_thresh	 11_bias	 21_bias	 31_bias	 11_thresh	 21_thresh	 31_thresh	 1_shfit_p	 2_shfit_p	 3_shfit_p	 1_slope_p	 2_slope_p	 3_slope_p	
m2c68r6.htb 0.431 2.522 -1.088 4.906 0.044 0.043 
m2c68r7.htb -0.885 2.973 -2.430 3.013 0.019 0.963 
m2c65r6.htb -0.647 1.925 -3.046 3.226 0.008 0.094 
m2c65r6.htb -0.647 1.925 -3.046 3.226 0.008 0.094 
m2c65r5 0.627 3.237 -0.798 3.377 0.028 0.885 
m2c65r5 1.465 2.892 -0.012 3.634 0.089 0.604 
m2c65r5 0.725 3.680 -0.613 3.733 0.119 0.968 
m2c65r5 0.725 3.680 -0.613 3.733 0.119 0.968 
m2c65r6 -0.647 1.925 -3.046 3.226 0.008 0.094 
m2c65r6 -0.647 1.925 -3.046 3.226 0.008 0.094 
m2c65r7 1.053 2.935 -2.696 3.687 0.000 0.442 
m2c145r9 1.468 0.793 -1.240 2.498 0.000 0.006 
m2c145r8 1.073 1.279 0.097 1.533 0.002 0.539 
m2c145r7 0.446 0.798 0.491 1.129 0.752 0.427 
m2c145r10 1.382 0.664 1.115 1.498 0.050 0.102 
m2c144r10 0.436 1.921 -1.917 2.017 0.000 0.870 
m2c144r9 0.529 1.348 0.240 1.579 0.376 0.601 
m2c141r2 -0.891 2.378 -0.104 3.230 0.093 0.307 
m2c141r3 -0.133 1.974 -0.369 2.334 0.704 0.624 
m2c138r6 0.265 0.947 0.365 2.867 0.512 0.003 
m2c138r5 -0.074 1.573 -0.507 0.816 0.167 0.204 
m2c135r6 -0.550 1.084 -0.437 1.187 0.587 0.760 
m2c138r6 0.265 0.947 0.365 2.867 0.512 0.003 
m2c81r1 -3.500 0.204 -0.760 9.664 1.000 1.000 
m2c82r6 -1.109 2.322 -0.367 1.638 0.253 0.246 
m2c82r7 1.535 3.827 0.762 2.249 0.781 0.117 
m2c151r4 0.281 1.396 -1.078 2.251 0.003 0.122 
