FILE	          coherence	  1_bias	 2_bias	 3_bias	 1_thresh	 2_thresh	 3_thresh	
m2c69r2 20.000	 2.000	 3.645	 
m2c69r2 20.000	 2.000	 3.645	 
m2c31r2 20.000	 2.000	 1.117	 
m2c31r2 20.000	 2.000	 1.117	 
m2c34r1 40.000	 2.000	 1.325	 
m2c106r6 20.000	 2.000	 1.630	 
m2c61r5 20.000	 2.000	 3.079	 
m2c137r1 20.000	 2.000	 1.523	 
m2c137r1 20.000	 2.000	 1.523	 
m2c137r1 20.000	 2.000	 1.523	 
m2c139r1 20.000	 2.000	 1.312	 
m5c0r1 35.000	 3.000	 6.013	 
m5c0r2 40.000	 3.000	 4.784	 
m5c0r2 40.000	 3.000	 4.784	 
m5c0r64 50.000	 1.000	 2.000	 3.000	 6.779	 6.273	 3.437	 
m5c0r64 50.000	 1.000	 2.000	 3.000	 6.779	 6.273	 3.437	 
m5c0r64 50.000	 1.000	 2.000	 3.000	 6.779	 6.273	 3.437	 
m5c0r63 50.000	 2.000	 4.661	 
m5c0r63 50.000	 2.000	 4.661	 
m5c0r63 50.000	 2.000	 4.794	 
m5c0r63 50.000	 2.000	 4.794	 
m5c0r64 50.000	 1.000	 2.000	 3.000	 4.159	 4.230	 2.267	 
m5c0r64 50.000	 1.000	 2.000	 3.000	 4.159	 4.230	 2.267	 
m5c0r64 50.000	 1.000	 2.000	 3.000	 6.779	 6.273	 3.437	 
m5c0r64 50.000	 1.000	 2.000	 3.000	 6.779	 6.273	 3.437	 
m2c78r4  20.000	 2.000	 1.715	 
m5c0r64 50.000	 1.000	 2.000	 3.000	 6.779	 6.273	 3.437	 
m5c0r66 40.000	 1.000	 2.000	 3.000	 4.285	 4.613	 2.682	 
m5c0r74 45.000	 1.000	 2.000	 3.000	 4.515	 4.400	 2.786	 
m5c0r74 45.000	 1.000	 2.000	 3.000	 4.515	 4.400	 2.786	 
m5c0r73 50.000	 1.000	 2.000	 3.000	 3.956	 3.670	 1.767	 
m5c0r71 50.000	 1.000	 2.000	 3.000	 5.541	 3.524	 2.102	 
m5c0r71 50.000	 1.000	 2.000	 3.000	 5.541	 3.524	 2.102	 
m2c34r1 40.000	 2.000	 1.325	 
m2c139r1 20.000	 2.000	 1.312	 
m2c139r1 20.000	 2.000	 1.312	 
m2c137r1 20.000	 2.000	 1.523	 
m2c137r1 20.000	 2.000	 1.523	 
m5c0r69 40.000	 1.000	 2.000	 3.000	 5.016	 6.108	 2.603	 
m5c0r70 40.000	 1.000	 2.000	 3.000	 3.875	 5.671	 2.707	 
m5c0r70 40.000	 1.000	 2.000	 3.000	 3.875	 5.671	 2.707	 
m5c30r2 47.000	 1.000	 2.000	 3.000	 5.446	 4.332	 2.572	 
m5c30r2 47.000	 1.000	 2.000	 3.000	 5.040	 2.921	 2.301	 
m5c30r2 47.000	 1.000	 2.000	 3.000	 5.040	 2.921	 2.301	 
m5c30r2 47.000	 1.000	 2.000	 3.000	 4.904	 3.871	 2.528	 
m5c30r2 47.000	 1.000	 2.000	 3.000	 5.446	 4.332	 2.572	 
m5c30r2 47.000	 1.000	 2.000	 3.000	 5.446	 4.332	 2.572	 
m5c0r74 45.000	 1.000	 2.000	 3.000	 4.515	 4.400	 2.786	 
m5c0r75 40.000	 1.000	 2.000	 3.000	 6.448	 4.324	 1.668	 
m5c30r2 47.000	 1.000	 2.000	 3.000	 5.446	 4.332	 2.572	 
m5c30r2 47.000	 1.000	 2.000	 3.000	 5.446	 4.332	 2.572	 
m5c0r74 45.000	 1.000	 2.000	 3.000	 4.515	 4.400	 2.786	 
m5c19r2 50.000	 1.000	 2.000	 3.000	 6.443	 4.983	 2.842	 
m5c19r2 50.000	 1.000	 2.000	 3.000	 6.443	 4.983	 2.842	 
m5c19r2 50.000	 1.000	 2.000	 3.000	 6.443	 4.983	 2.842	 
m5c46r6 40.000	 1.000	 2.000	 3.000	 4.024	 3.423	 2.781	 
m5c51r2 40.000	 1.000	 2.000	 3.000	 2.855	 3.584	 2.524	 
m5c55r2 40.000	 1.000	 2.000	 3.000	 2.622	 3.075	 1.996	 
m5c55r2 40.000	 1.000	 2.000	 3.000	 2.622	 3.075	 1.996	 
m5c56r2 40.000	 1.000	 2.000	 3.000	 3.591	 2.481	 2.480	 
m5c56r2 40.000	 1.000	 2.000	 3.000	 3.591	 2.481	 2.480	 
m5c57r3 40.000	 1.000	 2.000	 3.000	 3.613	 3.620	 2.456	 
m5c57r3 40.000	 1.000	 2.000	 3.000	 3.613	 3.620	 2.456	 
m5c91r2 35.000	 1.000	 2.000	 3.000	 4.716	 2.465	 2.226	 
m5c84r2 35.000	 1.000	 2.000	 3.000	 3.644	 1.387	 2.695	 
m5c113r1 30.000	 1.000	 2.000	 3.000	 2.940	 2.436	 2.166	 
m5c113r1 30.000	 1.000	 2.000	 3.000	 2.940	 2.436	 2.166	 
m5c113r1 30.000	 1.000	 2.000	 3.000	 2.940	 2.436	 2.166	 
m5c154r10 17.000	 1.000	 2.000	 3.000	 4.175	 4.336	 4.189	 
m5c154r10 17.000	 1.000	 2.000	 3.000	 4.175	 4.336	 4.189	 
m5c154r10 17.000	 1.000	 2.000	 3.000	 4.034	 4.497	 4.100	 
m5c154r10 17.000	 1.000	 2.000	 3.000	 4.034	 4.497	 4.100	 
m5c154r10 17.000	 1.000	 2.000	 3.000	 3.961	 3.630	 3.249	 
m5c154r3 30.000	 3.000	 3.038	 
m5c154r3 30.000	 3.000	 3.038	 
m5c154r3 30.000	 3.000	 3.038	 
m5c154r3 30.000	 3.000	 3.038	 
m5c154r5 25.000	 1.000	 4.922	 
