-0.553	-0.097
0.541	-0.06
0.717	-0.019
0.551	0.106
0.783	0.307
0.752	0.256
0.718	-0.105
0.957	0.195
-0.441	-0.299
-0.075	0.27
0.042	-0.214
0.346	0.048
0.202	-0.063
0.454	0.126
0.839	0.407
0.802	0.528
0.457	0.048
-0.333	0.135
0.264	0.045
-0.108	0.075
-0.268	-0.208
0.759	0.111
-0.181	0.019
0.243	0.345
-0.213	-0.059
0.385	-0.048
-0.524	0.099
0.045	0.074
0.15	0.094
0.299	0.165
0.362	0.188
0.221	0.026
-0.217	-0.326
0.739	-0.114
0.562	0.52
0.15	-0.127
-0.572	0.012
0.707	0.327
0.338	-0.125
-0.335	0.074
-0.226	0.381
0.526	-0.216
0.87	-0.036
0.814	0.29
0.651	0.175
0.693	0.193
0.372	0.3
0.182	-0.056
0.889	0.234
-0.562	-0.179
0.924	0.165
0.313	0.273
-0.172	0.097
0.053	-0.199
0.063	0.211
0.231	0.031
0.359	0.077
0.436	0.285
0.569	0.092
0.086	-0.113
0.711	0.051
-0.21	0.049
0.251	0.182
0.456	0.09
0.069	0.316
0.635	0.383
-0.489	0.075
-0.356	-0.267
0.351	0.245
-0.275	-0.167
-0.21	0.257
-0.392	-0.026
0.297	0.301
-0.011	-0.179
0.543	-0.081
-0.371	0.071
0.285	0.137
0.847	-0.142
0.717	0.158
0.609	0.139
0.463	-0.024
0.309	0.009
0.445	-0.04
-0.238	-0.159
0.269	0.227
0.274	0.005
0.152	-0.088
0.08	-0.132
0.664	0.087
0.1	-0.007
0.613	-0.016
0.518	-0.137
-0.503	0.011
0.745	0.082
-0.059	-0.112
-0.172	0.011
0.151	0.161
0.63	0.177
-0.187	-0.112
-0.867	-0.184
-0.25	-0.183
0.817	0.202
-0.489	0.178
0.517	0.201
-0.133	0.056
0.783	-0.012
0.226	0
0.606	-0.108
0.091	-0.184
-0.027	0.23
-0.214	-0.064
