m1c100r1.htb	37.34	27.888	12.871	56.271	69.472
m1c101r1.htb	9.11	15.446	2.376	26.733	92.871
m1c102r1.htb	5.45	6.931	0.594	20.198	77.03
m1c103r1.htb	0.79	2.178	1.188	8.317	42.178
m1c104r1.htb	5.35	6.931	2.574	22.178	75.842
m1c105r1.htb	1.39	0.99	0.594	8.119	37.624
m1c107r1.htb	7.43	5.941	2.97	19.604	53.465
m1c108r1.htb	10.89	10.297	1.98	26.931	89.307
m1c109r1.htb	3.25	3.63	0.283	12.211	49.835
m1c110r1.htb	3.39	5.611	3.96	12.706	21.452
m1c111r1.htb	9.5	6.733	3.564	17.822	34.455
m1c112r1.htb	1.98	0.99	0.248	3.465	22.277
m1c113r1.htb	21.39	22.178	6.733	35.446	61.584
m1c115r1.htb	42.18	38.218	2.376	55.248	84.158
m1c116r1.htb	4.95	2.475	4.208	8.663	48.515
m1c117r1.htb	26.34	28.911	10.099	41.98	81.98
m1c118r1.htb	33.66	32.079	24.752	47.129	133.861
m1c119r1.htb	21.07	24.092	9.241	42.244	125.908
m1c120r1.htb	12.28	5.545	2.574	12.673	77.624
m1c121r1.htb	8.91	8.581	3.96	16.407	38.614
m1c124r1.htb	22.77	23.96	24.554	32.475	77.822
m1c126r1.htb	0.4	0.594	0	5.941	38.02
m1c188r1.htb	34.46	34.257	9.109	70.495	136.832
m1c191r1.htb	0.79	0.792	0.792	4.95	81.98
m1c192r1.htb	3.17	1.584	0.495	6.733	25
m1c194r1.htb	12.54	15.05	8.119	24.158	18.218
m1c195r1.htb	0.99	0	0.248	2.97	8.663
m1c196r1.htb	3.71	5.281	1.238	13.861	26.733
m1c197r1.htb	16.24	21.98	3.762	37.822	103.96
m1c198r1.htb	10.07	7.426	2.574	22.937	91.749
m1c199r1.htb	33.04	47.1	43.14	56.577	93.777
m1c200r1.htb	13.3	12.447	12.046	19.142	26.025
m1c202r1.htb	51.09	42.574	33.663	68.317	123.96
m1c203r1.htb	14.85	10.693	4.554	20.594	35.644
m1c204r1.htb	11.55	7.921	6.337	20.99	20.792
m1c205r1.htb	5.74	3.713	1.782	13.465	43.762
m1c206r1.htb	9.46	14.975	2.847	33.416	13.738
m1c207r1.htb	20.59	28.911	9.505	41.386	158.218
m1c208r1.htb	1.73	1.65	0	7.261	36.634
