-0.09,-0.04,0.11,0.14,-0.11,0.09,0.01,-0.12,0.08,-0.02,0.09,0.08,-0.03,0.01,0.12,-0.03,0.07,0.03,0.11,0.06,-0.01,-0.01,-0.02,-0.02
0,0.02,0.01,0,-0.05,0,-0.01,-0.09,-0.09,-0.05,-0.06,0,-0.03,0.03,-0.03,-0.02,-0.03,-0.07,-0.01,-0.03,0,-0.01,-0.03,-0.03
-0.05,-0.04,0.08,-0.04,-0.04,-0.02,0,-0.06,0.06,-0.03,0.03,-0.03,-0.06,0,-0.06,-0.03,-0.15,-0.09,-0.03,0.02,0.01,-0.07,-0.03,-0.06
-0.12,-0.05,0.02,0.01,0.03,-0.11,-0.14,-0.04,-0.06,0.01,-0.19,-0.05,-0.1,0,0.05,-0.1,-0.01,-0.03,0.06,-0.02,0,0,-0.02,-0.08
-0.12,0.02,0.03,-0.01,-0.01,0.12,0.13,-0.01,0.03,-0.14,-0.05,-0.01,0.1,0.05,-0.12,0.12,0.05,0.01,-0.03,-0.02,0.06,0,-0.06,0.09
-0.009,-0.009,0.001,0.041,0.011,-0.009,-0.059,-0.049,0.031,-0.009,0.011,-0.059,0.011,-0.039,0.051,-0.009,-0.009,0.001,0.131,0.131,0.021,0,0.111,0.031
0.011,-0.029,0.001,0.011,0.031,0.041,-0.009,-0.019,-0.029,0.011,-0.029,-0.039,0.021,0.021,0.011,-0.059,-0.009,0.041,0.051,-0.009,0.011,-0.019,-0.039,-0.029
-0.009,0.001,0.011,-0.009,0.031,-0.029,-0.029,-0.029,0.001,-0.029,0.051,0.051,0.041,-0.039,-0.019,-0.029,-0.059,0.001,0.031,-0.009,0.001,0.021,-0.059,0.021
0.041,0.031,-0.039,0.021,0.021,0.011,-0.009,0.011,0.031,-0.049,-0.029,0.001,0.021,-0.039,0.051,-0.039,-0.039,-0.019,0.031,-0.009,-0.009,0.011,-0.029,0.001
-0.082,0.108,0.058,-0.002,-0.012,-0.122,0.068,-0.062,-0.122,-0.012,0.088,-0.062,0.068,0.068,-0.072,-0.022,-0.092,-0.062,-0.022,0.058,-0.082,0.078,0.018,0
-0.142,-0.012,-0.032,0.088,0.008,-0.062,0.068,-0.042,0.078,0.178,-0.032,0.138,-0.072,-0.072,0.098,0.018,-0.072,0.038,0.068,-0.042,-0.042,0.058,-0.012,0.028
-0.142,0.048,0.008,-0.182,0.028,0.118,-0.042,-0.002,-0.062,-0.112,0.118,0.108,0.018,-0.012,0.028,0.058,-0.032,0.108,-0.012,0.048,-0.092,-0.002,-0.022,0.028
-0.044,-0.064,-0.034,0.036,-0.024,0.056,-0.014,-0.044,0.016,0.006,0.046,-0.034,-0.054,-0.054,-0.004,0.036,-0.094,-0.044,-0.014,0.006,0.016,0.026,0.116,-0.024
0.056,-0.004,0.006,0.006,-0.054,-0.004,-0.004,0.016,-0.014,-0.014,0.006,0.026,0.026,-0.124,-0.144,-0.024,-0.004,-0.024,-0.014,-0.174,-0.054,-0.044,-0.004,-0.024
0.016,0.046,0.006,0.076,0.046,-0.014,0.036,0.056,0.006,0.026,0.086,-0.104,0.046,-0.054,0.026,-0.004,0.026,0.016,-0.024,0.006,-0.004,-0.014,-0.124,0.016
0.006,-0.054,0.056,-0.014,-0.044,-0.144,0.086,-0.054,-0.104,0.036,0.036,-0.184,0.016,0.056,-0.024,-0.074,-0.024,-0.054,0.086,0.086,0.016,0.076,-0.094,-0.034
0.056,-0.004,0.046,0.026,0.046,0.006,-0.114,0.036,0.036,0.006,0.016,0.006,-0.014,0.056,-0.174,0.006,0.026,0.076,0.046,0.046,-0.044,-0.034,-0.084,-0.004
-0.055,0.035,-0.045,-0.075,0.005,-0.015,-0.005,-0.015,0.065,-0.005,0.035,0.105,-0.065,-0.035,0.025,-0.035,-0.035,0.005,-0.015,0.015,-0.095,-0.005,-0.045,0.055
0.025,-0.045,-0.065,-0.105,0.015,-0.045,0.055,-0.025,0.005,0.005,0.005,0.025,0.055,0.005,0.045,0.015,0.005,0.025,0.025,-0.105,-0.005,0.055,0.025,0.015
-0.035,0.005,0.045,-0.035,0.025,-0.035,-0.025,-0.095,0.035,0.035,0.015,-0.075,-0.035,-0.135,-0.025,0.005,-0.105,-0.015,-0.045,0.025,0.025,-0.075,0.005,-0.025
-0.055,0.045,-0.035,-0.165,0.015,-0.075,0.075,0.035,0.005,0.015,0.005,0.055,0.015,0.035,0.035,-0.035,-0.075,-0.015,-0.005,-0.055,0.055,-0.015,-0.065,-0.045
0.023,0.013,-0.047,0.003,0.063,-0.037,-0.077,0.003,0.063,0.003,-0.037,-0.177,-0.047,-0.037,-0.137,-0.017,-0.047,0.023,0.003,-0.057,-0.167,-0.097,-0.067,-0.047
-0.117,0.113,0.023,0.003,0.013,-0.007,0.063,-0.017,-0.027,0.033,0.073,-0.027,-0.007,-0.067,0.033,0.033,0.043,-0.017,-0.007,0.023,0.033,0.003,-0.007,-0.077
-0.167,-0.177,-0.047,0.033,-0.057,0.023,0.043,-0.017,-0.027,-0.027,0.013,-0.007,0.033,0.033,0.033,-0.037,-0.077,-0.007,0.033,0.083,0.083,-0.147,0.053,0.003
-0.037,-0.187,0.043,0.063,0.083,0.073,-0.037,-0.017,0.073,0.013,0.083,0.083,-0.017,0.003,0.143,0.073,-0.037,-0.147,-0.037,0.063,-0.027,0.033,0.053,0.003
0.09,0.14,0.06,0.1,0.01,0.1,-0.05,0.03,0.05,0.01,0.01,-0.04,0.07,0.08,0.08,0,0.07,-0.02,-0.02,-0.04,0.05,-0.11,0.06,0.06
-0.04,-0.02,-0.09,0.05,0.03,0.08,-0.06,0.03,0.01,-0.05,0,-0.11,-0.01,0.03,0.02,-0.02,-0.05,-0.11,-0.04,0.07,-0.12,0.01,-0.08,0.03
0.03,0.05,-0.01,0.02,-0.07,0,0.04,-0.03,-0.07,-0.01,-0.12,-0.01,0.08,-0.07,0.04,0.09,-0.01,0.02,0.06,0.08,-0.1,-0.12,0,-0.08
-0.05,0.05,-0.05,-0.06,-0.11,0.02,0.02,0.04,0,-0.01,-0.09,-0.12,-0.08,0.08,-0.01,0.12,-0.01,-0.01,0.01,0,-0.03,-0.08,-0.05,-0.1
0.09,0.09,0.08,0.04,-0.04,0.03,-0.09,0.05,0.12,-0.09,-0.09,-0.01,0.04,-0.01,0.01,-0.02,0.07,-0.09,-0.01,0.03,0.07,0.08,0,0.04
