0.58916,2.9703,1
0.63407,2.9703,1
0.64888,3.9604,1
0.63063,4.9505,1
0.7723,2.9703,1
0.73596,1.9802,1
0.66921,0.9901,1
0.6506,0,1
0.7171,0.9901,1
0.75148,7.9208,1
0.72208,1.9802,1
0.71611,6.9307,1
0.76613,0.9901,1
0.7284,4.9505,1
0.638,2.9703,1
0.80279,3.9604,1
0.67752,0.9901,1
0.64259,3.9604,1
0.71528,6.9307,1
0.81319,7.9208,1
0.57707,20.7921,1
0.77514,9.901,1
0.78063,20.7921,1
0.75035,8.9109,1
0.77373,4.9505,1
0.71179,0,2
0.69054,0,2
0.79546,5.9406,2
0.70919,7.9208,2
0.66401,4.9505,2
0.73385,0.9901,2
0.7209,0,2
0.66345,0.9901,2
0.60865,0,2
0.64932,6.9307,2
0.54656,22.7723,2
0.72704,0.9901,2
0.68304,5.9406,2
0.73,0,2
0.71527,0.9901,2
0.75383,1.9802,2
0.67015,0,2
0.75532,0.9901,2
0.75313,11.8812,2
0.68997,2.9703,2
0.71257,6.9307,2
0.80745,13.8614,2
0.68402,3.9604,2
0.74524,18.8119,2
0.84342,23.7624,2
