0.15	0.2	0.35	0.38	0.13	0.33	0.25	0.12	0.32	0.22	0.32	0.31	0.21	0.25	0.36	0.21	0.31	0.27	0.35	0.3	0.23	0.23	0.23	0.22
0.24	0.25	0.25	0.23	0.19	-0.18	0.23	0.15	0.16	0.19	0.19	0.24	0.21	0.27	0.21	0.22	0.22	0.16	0.23	0.2	0.24	0.23	0.21	0.2
0.18	0.2	0.32	0.2	0.2	0.22	0.03	0.18	0.3	0.22	0.27	0.22	0.17	0.24	0.19	0.21	0.09	0.15	0.2	0.26	0.25	0.17	0.21	0.18
0.12	0.19	0.26	0.25	0.27	0.13	0.1	0.2	0.18	0.25	0.05	0.19	0.13	0.24	0.29	0.15	0.23	0.21	0.3	0.22	0.25	0.05	0.21	0.15
0.11	0.26	0.27	0.23	0.23	0.36	0.37	0.23	0.27	0.1	0.18	0.24	0.34	0.29	0.12	0.36	0.3	0.26	0.21	0.22	0.31	-0.21	0.17	0.33
-0.19	-0.19	-0.18	-0.14	-0.17	-0.19	-0.24	-0.24	-0.15	-0.19	-0.17	-0.24	-0.17	-0.22	-0.13	-0.19	-0.19	-0.18	-0.05	-0.05	-0.16	-0.27	-0.07	-0.14
-0.17	-0.21	-0.17	-0.16	-0.16	-0.14	-0.19	-0.21	-0.22	-0.18	-0.21	-0.22	-0.16	-0.16	-0.17	-0.23	-0.19	-0.14	-0.13	-0.18	-0.18	-0.2	-0.22	-0.22
-0.18	-0.18	-0.17	-0.19	-0.15	-0.21	-0.21	-0.2	-0.18	-0.21	-0.14	-0.13	-0.14	-0.23	-0.2	-0.21	-0.24	-0.17	-0.15	-0.19	-0.18	-0.17	-0.24	-0.16
-0.14	-0.15	-0.21	-0.16	-0.16	-0.17	-0.19	-0.17	-0.15	-0.22	-0.21	-0.18	-0.16	-0.22	-0.14	-0.22	-0.22	-0.2	-0.14	-0.19	-0.19	-0.17	-0.21	-0.19
-0.04	0.14	0.1	0.04	0.03	-0.08	0.11	-0.02	-0.08	0.03	0.13	-0.03	0.11	0.11	-0.03	0.02	-0.04	-0.01	0.03	0.11	-0.03	0.12	0.06	-0.13
-0.1	0.03	0	0.13	0.04	-0.02	0.12	0	0.12	0.22	0.01	0.18	-0.03	-0.03	0.15	0.06	-0.02	0.08	0.11	-0.01	0	0.1	0.03	0.07
-0.1	0.09	0.04	-0.14	0.08	0.16	0	0.04	-0.02	-0.07	0.15	0.16	0.06	0.04	0.07	0.1	0	0.15	0.04	0.09	-0.05	0.03	0.03	0.07
-0.06	-0.08	-0.05	0.02	-0.04	0.04	-0.03	-0.06	0	-0.01	0.03	-0.05	-0.07	-0.07	-0.01	0.02	-0.12	-0.06	-0.03	-0.01	0	0.01	0.11	-0.03
0.04	-0.02	-0.01	-0.01	-0.07	-0.02	-0.03	-0.01	-0.03	-0.03	-0.01	0.01	0	-0.13	-0.16	-0.03	-0.02	-0.04	-0.03	-0.18	-0.07	-0.06	-0.02	-0.04
0.01	0.03	-0.01	0.05	0.02	-0.03	0.01	0.04	-0.01	0.02	0.07	-0.12	0.02	-0.07	0.01	-0.02	0	0.01	-0.03	-0.02	-0.01	-0.03	-0.14	-0.01
-0.01	-0.07	0.04	-0.03	-0.06	-0.16	0.07	-0.06	-0.12	0.01	0.01	-0.2	0	0.03	-0.04	-0.1	-0.04	-0.07	0.07	0.07	0	0.06	-0.11	-0.05
0.04	-0.02	0.02	0.01	0.02	0	-0.13	0.01	0.03	-0.01	0	-0.01	-0.03	0.04	-0.19	-0.02	0.01	0.06	0.03	0.03	-0.06	-0.05	-0.1	-0.02
-0.14	-0.05	-0.12	-0.15	-0.08	-0.09	-0.09	-0.1	-0.02	-0.09	-0.05	0.02	-0.15	-0.12	-0.05	-0.12	-0.11	-0.08	-0.1	-0.08	-0.18	-0.09	-0.13	-0.03
